id,name,title,categoryId,pageIndex,stageId,sourceStageIds,difficultyLevel,hp,problemCount,bossMonsterId,bossMonsterIds,rewardCoins,rewardCandyAttribute,rewardCandyAmount,accentColor,paletteBackground,problemRule
boss-addition-page1,たしボス1,たしざん1-3,addition,0,,,2,170,3,futaleaf,futaleaf|yukiron|hinobou,60,くさ,2,#80d889,#edfff0,
boss-addition-page2,たしボス2,たしざん4-6,addition,1,,,3,190,3,hanabell,hanabell|hyokuru|biriran,70,くさ,2,#80d889,#edfff0,
boss-addition-page3,たしボス3,たしざん7-8,addition,2,,,3,210,2,awazarashi,awazarashi|kagebouya,80,よる,2,#b9a7ff,#f3efff,
boss-subtraction,ひきボス,ひきざんミックス,subtraction,,,,3,190,3,sagarii,sagarii|hikiron|nokorion,80,ひき算,2,#ffb15e,#fff2e3,
boss-multiplication,かけボス,かけざんミックス,multiplication,,,,4,210,3,chirichiri,chirichiri|raijinmaru|biriran,100,かみなり,2,#f6d74f,#fff8d7,
boss-grade1-page1,1ねんボス1,1ねん 1-3,grade1Arithmetic,0,,,1,130,3,futaleaf,futaleaf|sagarii|tenril,40,1ねん,1,#9de39f,#edfff0,
boss-grade1-page2,1ねんボス2,1ねん 4-6,grade1Arithmetic,1,,,1,140,3,hanabell,hanabell|nokobolt|tenroad,45,1ねん,1,#9de39f,#edfff0,
boss-grade1-page3,1ねんボス3,1ねん 7-9,grade1Arithmetic,2,,,1,150,3,sorobal,sorobal|awazarashi|ganroku,50,1ねん,1,#9de39f,#edfff0,
boss-grade1-page4,1ねんボス4,1ねん 10-12,grade1Arithmetic,3,,,2,160,3,keshipal,keshipal|nokobolt|hinobou,55,1ねん,1,#9de39f,#edfff0,
boss-grade1-page5,1ねんボス5,1ねん 13-15,grade1Arithmetic,4,,,2,170,3,yakibunny,yakibunny|yukiron|sagarii,60,1ねん,1,#9de39f,#edfff0,
boss-grade1-page6,1ねんボス6,1ねん 16-18,grade1Arithmetic,5,,,2,180,3,biriran,biriran|kurisage|tenril,65,1ねん,1,#9de39f,#edfff0,
boss-grade1-page7,1ねんボス7,1ねん 19-21,grade1Arithmetic,6,,,2,190,3,soroking,soroking|futaleaf|awazarashi,70,1ねん,1,#9de39f,#edfff0,
boss-grade1-page8,1ねんボス8,1ねん 22-24,grade1Arithmetic,7,,,2,200,3,hinogard,hinogard|raijinmaru|godchiri,75,1ねん,1,#9de39f,#edfff0,
