id,name,familyId,attribute,experienceKind,evolutionStage,attack,hp,moveNames,dexDescription,isRare,imageFileName,goalGauge,evolutionRequiredFragments,dexStoryEnabled
otameshi,オタメシ,otameshi,おためし,fast,1,1,58,おためし|チェック,おためし用の子。,FALSE,,110,,FALSE
debug-puni,デバッグプニ,debug-puni,おためし,fast,1,5,40,プニタッチ|テストジャンプ,おためしの子。,FALSE,,30,,FALSE
debug-rare,レアテスト,debug-rare,おためし,rare,1,30,80,レアチェック|キラテスト,出るか見る子。,TRUE,,200,,FALSE
debug-boss,デバッグボス,debug-boss,おためし,slow,1,18,130,テストパンチ|ボスチェック,たたかいのための子。,FALSE,,180,,FALSE
debug-speed,スピードン,debug-speed,かみなり,fast,1,8,55,はやい|チェック,すぐつかまる子。,FALSE,,45,,FALSE
debug-tank,タフドン,debug-tank,いし,slow,1,12,190,タフ|ガード,なかなかつかまらない子。,FALSE,,260,,FALSE
debug-power,パワテスト,debug-power,ほのお,standard,1,46,95,パワー|チェック,こうげきを見る子。,FALSE,,140,,FALSE
debug-evo-1,デバタネ,debug-evo,くさ,fast,1,6,55,テスト|たね,しんか前の子。,FALSE,,55,,FALSE
debug-evo-2,デバハナ,debug-evo,くさ,standard,2,18,95,テスト|はな,しんかした子。,FALSE,,95,2,FALSE
debug-evo-3,デバモリ,debug-evo,くさ,slow,3,36,150,テスト|モリ,さいごの子。,FALSE,,135,3,FALSE
debug-clock,トケポン,debug-clock,みず,standard,1,14,82,とけい|チェック,とけいを見る子。,FALSE,,120,,FALSE
debug-frac,ブンポン,debug-frac,よる,standard,1,16,88,ぶんすう|チェック,ぶんすうを見る子。,FALSE,,120,,FALSE
debug-dec,ショウポン,debug-dec,こおり,fast,1,13,78,しょうすう|チェック,しょうすうを見る子。,FALSE,,105,,FALSE
debug-root,ルートン,debug-root,よる,slow,1,24,120,ルート|チェック,ルートを見る子。,FALSE,,170,,FALSE
debug-ultra,キラレア,debug-ultra,かみなり,rare,1,40,110,キラ|レア,レアを見る子。,TRUE,,260,,FALSE
debug-glass,カミペラ,debug-glass,ほのお,fast,1,78,24,いちげき|ペラパンチ,ATKが高い子。,FALSE,,135,,FALSE
debug-glass-rare,キラペラ,debug-glass-rare,かみなり,rare,1,92,32,キラパンチ|いちげき,ATKがとても高い子。,TRUE,,240,,FALSE
debug-needle,トゲペラ,debug-needle,くさ,fast,1,64,20,トゲ|ペラアタック,HPが小さい子。,FALSE,,95,,FALSE
debug-onehp,ワンHP,debug-onehp,かみなり,fast,1,99,1,ワン|いちげき,HP1の子。,FALSE,,180,,FALSE
debug-tank-big,カベオウ,debug-tank-big,いし,slow,1,4,420,カベ|ガード,HPがとても大きい子。,FALSE,,320,,FALSE
debug-tank-low,ミニタフ,debug-tank-low,みず,slow,1,2,300,ガード|ミニパンチ,ATKが小さい子。,FALSE,,260,,FALSE
debug-tank-rare,キラカベ,debug-tank-rare,よる,rare,1,8,360,キラガード|カベ,レアでHPが大きい子。,TRUE,,340,,FALSE
debug-slowcatch,ニゲカベ,debug-slowcatch,いし,slow,1,20,180,にげる|カベ,つかまりにくい子。,FALSE,,520,,FALSE
debug-fastcatch,スグクル,debug-fastcatch,みず,fast,1,9,70,すぐくる|チェック,すぐつかまる子。,FALSE,,10,,FALSE
debug-four-1,ヨンタネ,debug-four,くさ,fast,1,5,45,たね|チェック,4しんかのはじめ。,FALSE,,45,1,FALSE
debug-four-2,ヨンハナ,debug-four,くさ,standard,2,16,86,はな|チェック,4しんかの2つめ。,FALSE,,80,2,FALSE
debug-four-3,ヨンモリ,debug-four,くさ,standard,3,33,145,モリ|チェック,4しんかの3つめ。,FALSE,,125,3,FALSE
debug-four-4,ヨンオウ,debug-four,くさ,slow,4,58,230,オウ|チェック,4しんかのさいご。,FALSE,,190,,FALSE
debug-flat,ヒラヒラ,debug-flat,こおり,fast,1,35,35,ヒラ|チェック,ATKとHPが同じくらい。,FALSE,,70,,FALSE
debug-heavy-hit,オモパン,debug-heavy-hit,いし,slow,1,60,260,おもい|パンチ,ATKもHPも大きい子。,FALSE,,260,,FALSE
debug-weak-water,水テスト,debug-weak-water,みず,standard,1,36,90,水チェック|弱点,火ボスにとくいな子。,FALSE,,90,,FALSE
debug-weak-grass,草テスト,debug-weak-grass,くさ,standard,1,36,90,草チェック|弱点,水と石にとくいな子。,FALSE,,90,,FALSE
debug-weak-thunder,電テスト,debug-weak-thunder,かみなり,standard,1,36,90,電チェック|弱点,水ボスにとくいな子。,FALSE,,90,,FALSE
debug-weak-boss-fire,火ボス,debug-weak-boss-fire,ほのお,slow,1,18,170,火パンチ|弱点,水が弱点のボス。,FALSE,,180,,FALSE
debug-weak-boss-water,水ボス,debug-weak-boss-water,みず,slow,1,18,170,水パンチ|弱点,草と電が弱点のボス。,FALSE,,180,,FALSE
debug-weak-boss-stone,石ボス,debug-weak-boss-stone,いし,slow,1,18,170,石パンチ|弱点,水と草が弱点のボス。,FALSE,,180,,FALSE
