stageId,order,monsterId,weight
debugAdd,1,debug-puni,90
debugAdd,2,debug-rare,10
debugMinus,1,debug-puni,50
debugMinus,2,otameshi,50
debugLong,1,debug-boss,80
debugLong,2,otameshi,20
debugLong,3,debug-slowcatch,40
debugLong,4,debug-fastcatch,20
debugCarry,1,debug-speed,65
debugCarry,2,debug-power,25
debugCarry,3,debug-ultra,10
debugCarry,4,debug-glass,30
debugCarry,5,debug-onehp,10
debugBorrow,1,debug-tank,50
debugBorrow,2,debug-evo-1,40
debugBorrow,3,debug-rare,10
debugBorrow,4,debug-tank-big,35
debugBorrow,5,debug-tank-low,25
debugBlank,1,debug-evo-1,45
debugBlank,2,debug-evo-2,35
debugBlank,3,debug-evo-3,20
debugBlank,4,debug-four-1,35
debugBlank,5,debug-four-2,25
debugBlank,6,debug-four-3,15
debugBlank,7,debug-four-4,10
debugTimes,1,debug-power,60
debugTimes,2,debug-speed,20
debugTimes,3,debug-ultra,20
debugTimes,4,debug-glass-rare,20
debugTimes,5,debug-needle,25
debugTimes,6,debug-heavy-hit,15
debugDivide,1,debug-tank,60
debugDivide,2,debug-boss,30
debugDivide,3,debug-ultra,10
debugDivide,4,debug-tank-rare,25
debugDivide,5,debug-slowcatch,20
debugDivide,6,debug-heavy-hit,15
debugFraction,1,debug-frac,70
debugFraction,2,debug-evo-2,20
debugFraction,3,debug-rare,10
debugFraction,4,debug-four-2,20
debugFraction,5,debug-flat,20
debugFractionMul,1,debug-frac,50
debugFractionMul,2,debug-root,20
debugFractionMul,3,debug-ultra,30
debugFractionMul,4,debug-four-3,20
debugFractionMul,5,debug-glass,15
debugDecimal,1,debug-dec,70
debugDecimal,2,debug-speed,20
debugDecimal,3,debug-rare,10
debugDecimal,4,debug-flat,30
debugDecimal,5,debug-fastcatch,20
debugClock,1,debug-clock,80
debugClock,2,otameshi,20
debugClock,3,debug-tank-low,15
debugClock,4,debug-onehp,10
debugRoot,1,debug-root,70
debugRoot,2,debug-boss,20
debugRoot,3,debug-ultra,10
debugRoot,4,debug-four-4,20
debugRoot,5,debug-glass-rare,15
debugRoot,6,debug-tank-big,15
debugShapeArea,1,debug-flat,40
debugShapeArea,2,debug-tank-big,25
debugShapeArea,3,debug-four-2,20
debugShapeArea,4,debug-rare,15
debugShapeArea,5,debug-weak-water,30
debugShapeArea,6,debug-weak-grass,30
debugVertical,1,debug-glass,35
debugVertical,2,debug-heavy-hit,25
debugVertical,3,debug-four-3,20
debugVertical,4,debug-speed,20
debugVertical,5,debug-weak-thunder,30
debugMissingDigit,1,debug-needle,30
debugMissingDigit,2,debug-onehp,20
debugMissingDigit,3,debug-tank-low,30
debugMissingDigit,4,debug-four-1,20
debugMissingDigit,5,debug-weak-water,30
debugMissingDigit,6,debug-weak-grass,30
debugMissingDigit,7,debug-weak-thunder,30
debugChoiceGrid,1,debug-puni,60
debugChoiceGrid,2,debug-speed,40
debugChoiceRow,1,debug-dec,60
debugChoiceRow,2,debug-rare,40
debugChoiceColumn,1,debug-puni,60
debugChoiceColumn,2,debug-rare,40
debugMultiSelect,1,debug-needle,60
debugMultiSelect,2,debug-ultra,40
