stageId,order,legacyRule,kind,operator,blankSlot,leftMin,leftMax,rightMin,rightMax,resultMin,resultMax,denominatorMin,denominatorMax,leftDenominatorMin,leftDenominatorMax,rightDenominatorMin,rightDenominatorMax,resultDenominatorMin,resultDenominatorMax,digitRule,minuteStep,leftDecimalPlaces,rightDecimalPlaces,resultDecimalPlaces,remainderMin,remainderMax,remainderRule,rootMode,answerMode
debugAdd,1,,integer,plus,,1,3,1,3,2,6,,,,,,,,,,,,,,,,,,
debugMinus,1,,integer,minus,,5,9,1,4,1,8,,,,,,,,,,,,,,,,,,
debugLong,1,,integer,plus,,1,1,1,9,2,10,,,,,,,,,,,,,,,,,,
debugCarry,1,,integer,plus,,4,9,4,9,10,18,,,,,,,,,carryRequired,,,,,,,,,
debugBorrow,1,,integer,minus,,10,18,1,9,1,9,,,,,,,,,borrowRequired,,,,,,,,,
debugBlank,1,,integer,plus,left,,,1,9,10,18,,,,,,,,,,,,,,,,,,
debugBlank,2,,integer,plus,right,1,9,,,10,18,,,,,,,,,,,,,,,,,,
debugBlank,3,,integer,minus,result,10,18,1,9,,,,,,,,,,,,,,,,,,,,
debugTimes,1,,integer,times,,2,9,2,9,4,81,,,,,,,,,,,,,,,,,,
debugDivide,1,,integerDivision,divide,,2,81,2,9,1,9,,,,,,,,,,,,,,0,0,none,,
debugDivide,2,,integerDivision,divide,,2,81,2,9,1,9,,,,,,,,,,,,,,1,8,required,,
debugFraction,1,,sameDenominatorFraction,plus,,1,8,1,8,1,9,2,9,,,,,,,,,,,,,,,,
debugFraction,2,,differentDenominatorFraction,minus,,1,5,1,5,1,30,,,2,6,2,6,2,30,,,,,,,,,,
debugFraction,3,,equivalentFraction,equal,rightDenominator,1,24,1,9,0,0,,,2,36,,,,,,,,,,,,,,
debugFractionMul,1,,fractionProductQuotient,times,,1,5,1,5,1,25,,,2,6,2,6,2,36,,,,,,,,,,
debugFractionMul,2,,fractionProductQuotient,divide,,1,5,1,5,1,36,,,2,6,2,6,1,36,,,,,,,,,,
debugDecimal,1,,decimal,plus,,0.1,9.9,0.1,9.9,0,19.8,,,,,,,,,noCarry,,1,1,1,,,,,
debugDecimal,2,,decimal,plus,,0.1,9.9,0.1,9.9,0,19.8,,,,,,,,,carryRequired,,1,1,1,,,,,
debugDecimal,3,,decimal,minus,,0.01,9.99,0.01,9.99,0,9.98,,,,,,,,,,,2,2,2,,,,,
debugClock,1,,clockTime,equal,left,1,12,0,0,1,12,,,,,,,,,,60,,,,,,,,
debugClock,2,,clockTime,equal,right,1,12,5,55,0,2359,,,,,,,,,,5,,,,,,,,
debugClock,3,,clockMinuteConversion,equal,result,60,110,1,1,,,,,,,,,,,,10,,,,,,,,clockHourMinute
debugRoot,1,,squareRoot,equal,,4,144,,,1,12,,,,,,,,,,,,,,,,,pair,
debugRoot,2,,squareRoot,equal,,4,49,,,2,7,,,,,,,,,,,,,,2,50,,simplify,
debugRoot,3,,squareRoot,plus,,1,7,1,7,1,14,,,2,12,2,12,,,,,,,,2,12,,addLike,
debugRoot,4,,squareRoot,equal,,1,9,2,12,1,9,,,,,,,,,,,,,,2,12,,fraction,
debugRoot,5,,squareRoot,equal,,1,9,2,12,1,9,,,,,,,,,,,,,,2,12,,rationalize,
debugShapeArea,1,,shapeArea,times,,2,12,2,12,4,144,,,,,,,,,,,,,,,,,,
debugShapeArea,2,,shapeArea,times,left,,,2,12,4,144,,,,,,,,,,,,,,,,,,
debugVertical,1,,verticalArithmetic,plus,,10,99,10,99,20,198,,,,,,,,,carryRequired,,,,,,,,,
debugVertical,2,,verticalArithmetic,minus,,20,99,10,89,0,89,,,,,,,,,borrowRequired,,,,,,,,,
debugVertical,3,,verticalArithmetic,times,,10,99,2,9,20,891,,,,,,,,,,,,,,,,,,
debugMissingDigit,1,,missingDigitArithmetic,plus,,10,49,10,49,20,98,,,,,,,,,carryRequired,,,,,,,,,
debugMissingDigit,2,,missingDigitArithmetic,plus,,10,49,10,49,20,98,,,,,,,,,noCarry,,,,,,,,,
debugMissingDigit,3,,missingDigitArithmetic,minus,,20,99,10,89,10,89,,,,,,,,,borrowRequired,,,,,,,,,
debugMissingDigit,4,,missingDigitArithmetic,minus,,20,99,10,89,10,89,,,,,,,,,noBorrow,,,,,,,,,
debugChoiceGrid,1,,integer,plus,,1,4,1,4,2,8,,,,,,,,,,,,,,,,,,choiceGrid
debugChoiceRow,1,,integer,minus,,5,9,0,4,1,9,,,,,,,,,,,,,,,,,,choiceRow
debugChoiceColumn,1,,integer,plus,,1,9,1,9,2,18,,,,,,,,,,,,,,,,,,choiceColumn
debugMultiSelect,1,,integer,plus,,1,4,1,4,2,8,,,,,,,,,,,,,,,,,,multiSelect
