id,order,stageCategoryId,name,subtitle,themeLabel,backgroundPath,accentColor,comingSoon,playLimitDisabled,minPracticeLevel,maxPracticeLevel,captureGaugeGain
debugAdd,901,debug,おためしたしざん,1から3をたす,〇+〇,assets/backgrounds/grasslands.webp,#7ed7ff,,,,,100
debugMinus,902,debug,おためしひきざん,5から9でひく,〇-〇,assets/backgrounds/subtractionForest.webp,#ffb15e,,,,,100
debugLong,903,debug,つかまらんチェック,いっぱいとく,1+〇,assets/backgrounds/stoneValley.webp,#c5b7ff,,,,,5
debugCarry,904,debug,くりあがりチェック,たすと10をこえる,〇+〇,assets/backgrounds/thunderHighland.webp,#f6d74f,,,,,80
debugBorrow,905,debug,くりさがりチェック,ひくときにかりる,〇-〇,assets/backgrounds/subtractionForest.webp,#ffb15e,,,,,80
debugBlank,906,debug,あなうめチェック,□に入る数,□+〇=〇,,#ffd766,,,,,80
debugTimes,907,debug,かけ算チェック,九九をまとめて見る,〇×〇,assets/backgrounds/fireMountain.webp,#ff8b55,,,,,70
debugDivide,908,debug,わり算チェック,あまりも見る,〇÷〇,assets/backgrounds/tenTower.webp,#a7d86e,,,,,70
debugFraction,909,debug,ぶんすうチェック,たすひくそろえる,〇/□,assets/backgrounds/moonRuins.webp,#b9a7ff,,,,,70
debugFractionMul,910,debug,ぶんすうかけわり,かけるわる,〇/□×〇/□,assets/backgrounds/moonRuins.webp,#c5b7ff,,,,,70
debugDecimal,911,debug,しょうすうチェック,くりありなし,〇.〇+〇.〇,assets/backgrounds/waterGarden.webp,#70c7ff,,,,,70
debugClock,912,debug,とけいチェック,時こくと分,〇時〇分,assets/backgrounds/waterGarden.webp,#70c7ff,,,,,70
debugRoot,913,debug,ルートチェック,ルートの形,√〇,assets/backgrounds/moonRuins.webp,#c5b7ff,,,,,70
debugShapeArea,914,debug,図形ひろさ,たてとよこ,たて×よこ,assets/backgrounds/grasslands.webp,#80d889,,,,,70
debugVertical,915,debug,ひっ算チェック,たてに見る,たて書き,assets/backgrounds/tenTower.webp,#a7d86e,,,,,70
debugMissingDigit,916,debug,虫食い算,□の数を入れる,□入り,assets/backgrounds/thunderHighland.webp,#f6d74f,,,,,70
debugChoiceGrid,917,debug,4たく2x2,えらんでこたえる,2×2,assets/backgrounds/grasslands.webp,#7ed7ff,,,,,70
debugChoiceRow,918,debug,4たく1れつ,よこにならぶ,1×4,assets/backgrounds/waterGarden.webp,#70c7ff,,,,,70
debugChoiceColumn,919,debug,4たくたて,ながいカード,たて4つ,assets/backgrounds/waterGarden.webp,#70c7ff,,,,,70
debugMultiSelect,920,debug,ぜんぶえらぶ,あうものぜんぶ,せんたく,assets/backgrounds/thunderHighland.webp,#f6d74f,,,,,70
