id,name,familyId,attribute,experienceKind,evolutionStage,attack,hp,moveNames,dexDescription,isRare,imageFileName,goalGauge,evolutionRequiredFragments,dexStoryEnabled,dexStoryRequiredFragments
picoleaf,ピコリーフ,picoleaf,くさ,standard,1,12,85,リーフタップ|たねジャンプ,小さなはっぱで ぴょんとすすむ。,FALSE,picoleaf.webp,100,,TRUE,3
futaleaf,フタリーフ,picoleaf,くさ,standard,2,19,112,リーフタップ|ふたばガード,二まいのはっぱでまわりのくうきをさぐる,FALSE,futaleaf.webp,130,,TRUE,5
morileaf,モリリーフ,picoleaf,くさ,standard,3,31,145,リーフタップ|もりのエール,せいちょうして かしこくなったことで 話せるくらいの ちのうが めばえた,FALSE,morileaf.webp,160,,TRUE,12
mokotane,モコタネ,mokotane,くさ,fast,1,10,120,わたげパンチ|ころころ,ひなたぼっこが好き たいようの力でぐんぐんせいちょうする,FALSE,mokotane.webp,100,,TRUE,6
mokoleaf,モコリーフ,mokotane,くさ,fast,2,20,160,わたげパンチ|リーフクッション,はっぱまじりのわたげでたいようエネルギーをたくわえるよ,FALSE,mokoleaf.webp,140,,TRUE,12
haneppu,ハネップ,haneppu,くさ,fast,1,22,55,はねキック|くさむらダッシュ,長い耳で 風をよみ くさをぬける。ほんとはさみしがりや,FALSE,haneppu.webp,100,,FALSE,9
hanahana,ハナハナ,hanahana,くさ,standard,1,14,80,つぼみタッチ|あまいかおり,つぼみをゆらして 朝の光をあつめる。,FALSE,hanahana.webp,100,,FALSE,
hanabell,ハナベル,hanahana,くさ,standard,2,21,112,つぼみタッチ|はなびらスピン,花びらを回して、まわりに小さな風を作る。,FALSE,hanabell.webp,130,,FALSE,
hanalord,ハナロード,hanahana,くさ,standard,3,34,100,はなびらスピン|フラワーエール,大きな花で なかまをてらす。,FALSE,hanalord.webp,160,,FALSE,
kororin,コロリン,kororin,くさ,fast,1,24,60,ころがる|くさだんご,丸いからだで さかをころがる。,FALSE,kororin.webp,100,,FALSE,
midorin,ミドリン,midorin,くさ,fast,1,13,72,みどりキック|ぴょんステップ,みどりの足あとで 元気にはねる。,FALSE,midorin.webp,100,,FALSE,
midorian,ミドリアン,midorin,くさ,fast,2,30,130,みどりキック|リーフジャンプ,ジャンプで はっぱがふわりとまう。,FALSE,midorian.webp,140,,FALSE,
yukipon,ユキポン,yukipon,こおり,standard,1,12,85,こなゆき|ころん,小さな雪玉で つるつるすべる。,FALSE,yukipon.webp,110,,FALSE,
yukiron,ユキロン,yukipon,こおり,standard,2,21,118,こなゆき|アイスころがり,つららの音で いい道を見つける。,FALSE,yukiron.webp,140,,FALSE,
yukigran,ユキグラン,yukipon,こおり,standard,3,35,130,アイスころがり|ひょうけつベル,大きなこおりで どうくつを光らせる。,FALSE,yukigran.webp,170,,FALSE,
koorin,コオリン,koorin,こおり,slow,1,15,105,こおりのつぶ|きらめき,角のこおりに 答えがうつる。,FALSE,koorin.webp,110,,FALSE,
koorion,コオリオン,koorin,こおり,slow,2,27,185,こおりのつぶ|クリスタルライン,こおりの線で 出口をおしえる。,FALSE,koorion.webp,150,,FALSE,
kirapon,キラポン,kirapon,こおり,fast,1,17,81,キラタッチ|ひんやり,いきをはくと 光のつぶがふわり。,FALSE,kirapon.webp,120,,FALSE,
hyokoro,ヒョコロ,hyokoro,こおり,standard,1,13,90,すべりこみ|こおりみず,おなかですべって ゆっくりすすむ。,FALSE,hyokoro.webp,110,,FALSE,
hyokuru,ヒョクル,hyokoro,こおり,standard,2,24,122,すべりこみ|スノーカーブ,こおりのカーブが とくい。,FALSE,hyokuru.webp,140,,FALSE,
hyogan,ヒョウガン,hyokoro,こおり,standard,3,37,156,スノーカーブ|グレイシャル,止まると 足元にこおりの道ができる。,FALSE,hyogan.webp,170,,FALSE,
