stageId,order,monsterId,weight
g1-tashizan-hazimarinosougen,1,picoleaf,45
g1-tashizan-hazimarinosougen,2,mokotane,40
g1-tashizan-hazimarinosougen,3,haneppu,15
g1-tashizan-koorinodoukutsu,1,yukipon,45
g1-tashizan-koorinodoukutsu,2,koorin,25
g1-tashizan-koorinodoukutsu,3,tsururin,5
g1-tashizan-koorinodoukutsu,4,picoleaf,25
g1-tashizan-honoonoyama,1,hinokoro,45
g1-tashizan-honoonoyama,2,merarun,25
g1-tashizan-honoonoyama,3,kogemaru,5
g1-tashizan-honoonoyama,4,haneppu,25
g1-tashizan-junotomodachi,1,hanahana,
g1-tashizan-junotomodachi,2,kororin,
g1-tashizan-junotomodachi,3,midorin,
g1-tashizan-junotomodachi,4,kirapon,
g1-tashizan-jutojuichinowakaremichi,1,hyokoro,34
g1-tashizan-jutojuichinowakaremichi,2,tsururin,24
g1-tashizan-jutojuichinowakaremichi,3,pokkuma,20
g1-tashizan-jutojuichinowakaremichi,4,yakorin,21.5
g1-tashizan-jutojuichinowakaremichi,5,sunomaru,0.5
g1-tashizan-kaminarinotakadai,1,biricoro,34
g1-tashizan-kaminarinotakadai,2,raimaru,29
g1-tashizan-kaminarinotakadai,3,pikopiko,28.5
g1-tashizan-kaminarinotakadai,4,hinokoro,8
g1-tashizan-kaminarinotakadai,5,goropeka,0.5
g1-tashizan-mizubenoniwa,1,awapon,34
g1-tashizan-mizubenoniwa,2,namirin,29
g1-tashizan-mizubenoniwa,3,pururunrun,28.5
g1-tashizan-mizubenoniwa,4,koorin,8
g1-tashizan-mizubenoniwa,5,mizukira,0.5
g1-tashizan-yorunoiseki,1,kagemaru,34
g1-tashizan-yorunoiseki,2,tsukinoko,29
g1-tashizan-yorunoiseki,3,yoru,28.5
g1-tashizan-yorunoiseki,4,awapon,8
g1-tashizan-yorunoiseki,5,hoshimimi,0.5
g3-bunsu-bunsunohoshi,1,kagemaru,34
g3-bunsu-bunsunohoshi,2,tsukinoko,29
g3-bunsu-bunsunohoshi,3,yoru,28.5
g3-bunsu-bunsunohoshi,4,awapon,8
g3-bunsu-bunsunohoshi,5,hoshimimi,0.5
g3-bunsu-bunsunokage,1,kagemaru,32
g3-bunsu-bunsunokage,2,nemuriko,30
g3-bunsu-bunsunokage,3,lumina,28
g3-bunsu-bunsunokage,4,tsukinoko,9.5
g3-bunsu-bunsunokage,5,hoshimimi,0.5
g4-bunsu-onajibunsu,1,lumina,32
g4-bunsu-onajibunsu,2,kagemaru,30
g4-bunsu-onajibunsu,3,tsukinoko,28
g4-bunsu-onajibunsu,4,yoru,9.5
g4-bunsu-onajibunsu,5,hoshimimi,0.5
g5-bunsu-tsubunnohashi,1,tenpico,32
g5-bunsu-tsubunnohashi,2,maruten,30
g5-bunsu-tsubunnohashi,3,kazumaru,28
g5-bunsu-tsubunnohashi,4,soroban,9.5
g5-bunsu-tsubunnohashi,5,rainbow,0.5
g5-bunsu-tsubunnotani,1,soroban,32
