stageId,order,type,targetStageId,monsterId,achievementId,itemId,trainerId,count,label
g1-tashizan-koorinodoukutsu,1,stageClearCount,g1-tashizan-hazimarinosougen,,,,,5,
g1-tashizan-koorinodoukutsu,2,uniqueDexCount,,,,,,2,
g1-tashizan-honoonoyama,1,stageClearCount,g1-tashizan-koorinodoukutsu,,,,,5,
g1-tashizan-honoonoyama,2,uniqueDexCount,,,,,,4,
g1-tashizan-junotomodachi,1,stageClearCount,g1-tashizan-honoonoyama,,,,,5,
g1-tashizan-jutojuichinowakaremichi,1,stageClearCount,g1-tashizan-junotomodachi,,,,,30,
g1-tashizan-kaminarinotakadai,1,stageClearCount,g1-tashizan-junotomodachi,,,,,5,
g1-tashizan-kaminarinotakadai,2,uniqueDexCount,,,,,,7,
g1-tashizan-mizubenoniwa,1,stageClearCount,g1-tashizan-kaminarinotakadai,,,,,5,
g1-tashizan-mizubenoniwa,2,uniqueDexCount,,,,,,10,
g1-tashizan-yorunoiseki,1,stageClearCount,g1-tashizan-mizubenoniwa,,,,,5,
g1-tashizan-yorunoiseki,2,uniqueDexCount,,,,,,13,
g3-bunsu-bunsunokage,1,stageClearCount,g3-bunsu-bunsunohoshi,,,,,5,
g4-bunsu-onajibunsu,1,stageClearCount,g3-bunsu-bunsunokage,,,,,5,
g5-bunsu-tsubunnohashi,1,stageClearCount,g4-bunsu-onajibunsu,,,,,5,
g5-bunsu-tsubunnotani,1,stageClearCount,g5-bunsu-tsubunnohashi,,,,,5,
g6-bunsu-bunsunokakezan,1,stageClearCount,g5-bunsu-tsubunnotani,,,,,5,
g6-bunsu-bunsunowarizan,1,stageClearCount,g6-bunsu-bunsunokakezan,,,,,5,
g1-junoyama-tenberunotou,1,uniqueDexCount,,,,,,16,
g1-hikizan-hikuichinokomichi,1,stageClearCount,g1-tashizan-junotomodachi,,,,,5,
g1-hikizan-hikuninokomichi,1,stageClearCount,g1-hikizan-hikuichinokomichi,,,,,8,
g1-hikizan-nokorinokomichi,1,stageClearCount,g1-hikizan-hikuninokomichi,,,,,8,
g1-hikizan-tennoichiba,1,stageClearCount,g1-hikizan-nokorinokomichi,,,,,8,
g1-hikizan-tennoichiba,2,monsterCaptured,,tenpico,,,,,
g1-hikizan-nijubashi,1,stageClearCount,g1-hikizan-tennoichiba,,,,,8,
g1-hikizan-juikutsunohashi,1,stageClearCount,g1-hikizan-nijubashi,,,,,8,
g2-hikizan-kurainohikimichi,1,stageClearCount,g1-hikizan-juikutsunohashi,,,,,8,
g2-hikizan-nokoriishinotani,1,stageClearCount,g2-hikizan-kurainohikimichi,,,,,8,
g2-hikizan-ochibanogake,1,stageClearCount,g2-hikizan-nokoriishinotani,,,,,8,
g2-hikizan-kurisagarinosenaka,1,stageClearCount,g2-hikizan-ochibanogake,,,,,10,
g2-hikizan-kurisagarinosenaka,2,stageClearCount,g2-hikizan-nokoriishinotani,,,,,10,
g2-kakezan-ninodan,1,stageClearCount,g2-kakezan-ichinodan,,,,,5,
g2-kakezan-sannodan,1,stageClearCount,g2-kakezan-ninodan,,,,,5,
g2-kakezan-yonnodan,1,stageClearCount,g2-kakezan-sannodan,,,,,5,
g2-kakezan-gonodan,1,stageClearCount,g2-kakezan-yonnodan,,,,,5,
g2-kakezan-rokunodan,1,stageClearCount,g2-kakezan-gonodan,,,,,5,
g2-kakezan-nananodan,1,stageClearCount,g2-kakezan-rokunodan,,,,,5,
g2-kakezan-hachinodan,1,stageClearCount,g2-kakezan-nananodan,,,,,5,
g2-kakezan-kyunodan,1,stageClearCount,g2-kakezan-hachinodan,,,,,5,
g1-junoyama-shikakunoitadaki,1,stageClearCount,g1-junoyama-tenberunotou,,,,,5,
g1-junoyama-shikakunoitadaki,2,achievementUnlocked,,,dex-20,,,,ずかん20のトロフィーを あける
g1-junoyama-shikakunoitadaki,3,monsterCaptured,,tenpico,,,,,テンピコをゲットする
