id,order,stageCategoryId,name,subtitle,themeLabel,backgroundPath,accentColor,comingSoon,playLimitDisabled,minPracticeLevel,maxPracticeLevel,captureGaugeGain
g1-tashizan-hazimarinosougen,1,addition,はじまりのそうげん,1をたす れんしゅう,1+〇 / 〇+1,assets/backgrounds/grasslands.webp,#80d889,,,,,33
g1-tashizan-koorinodoukutsu,2,addition,こおりのどうくつ,2をたす れんしゅう,2+〇 / 〇+2,assets/backgrounds/iceCave.webp,#9bdcf8,,,,,
g1-tashizan-honoonoyama,3,addition,ほのおのやま,3をたす れんしゅう,3+〇 / 〇+3,assets/backgrounds/fireMountain.webp,#ffb15e,,,,,
g1-tashizan-junotomodachi,4,addition,10のともだち,たして10にする □,□+〇=10,,#ffd766,,,,,
g1-tashizan-jutojuichinowakaremichi,5,addition,10と11のわかれみち,こたえが10か11になるたしざん,〇+〇=10か11,,#ffd766,,,,,
g1-tashizan-kaminarinotakadai,6,addition,かみなりのたかだい,くりあがりなし,4〜9+〇,assets/backgrounds/thunderHighland.webp,#f6d74f,,,,,
g1-tashizan-mizubenoniwa,7,addition,みずべのにわ,くりあがりなし,4〜9+〇,assets/backgrounds/waterGarden.webp,#70c7ff,,,,,
g1-tashizan-yorunoiseki,8,addition,よるのいせき,くりあがりなし,4〜9+〇,assets/backgrounds/moonRuins.webp,#b9a7ff,,,,,
g3-bunsu-bunsunohoshi,9,fraction,分数のほし,同じ分母をたす,〇/□ + 〇/□,assets/backgrounds/moonRuins.webp,#b9a7ff,,,3,3,
g3-bunsu-bunsunokage,10,fraction,分数のかげ,同じ分母をひく,〇/□ - 〇/□,assets/backgrounds/moonRuins.webp,#b9a7ff,,,3,3,
g4-bunsu-onajibunsu,11,fraction,同じ分数,同じ大きさにする,〇/□ = 〇/□,assets/backgrounds/moonRuins.webp,#b9a7ff,,,4,4,
g5-bunsu-tsubunnohashi,12,fraction,通分のはし,分母をそろえてたす,〇/2 + 〇/3,assets/backgrounds/tenTower.webp,#ffd766,,,5,5,
g5-bunsu-tsubunnotani,13,fraction,通分の谷,分母をそろえてひく,〇/2 - 〇/3,assets/backgrounds/tenTower.webp,#ffd766,,,5,5,
g6-bunsu-bunsunokakezan,14,fraction,分数のかけ算,分数をかける,〇/□ × 〇/□,assets/backgrounds/moonRuins.webp,#b9a7ff,,,6,6,
g6-bunsu-bunsunowarizan,15,fraction,分数のわり算,分数でわる,〇/□ ÷ 〇/□,assets/backgrounds/tenTower.webp,#ffd766,,,6,6,
g2-tokei-tokeiwoyomu,16,clock,時計を読む,何時かな,〇時,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,,,
g2-tokei-gofungoto,17,clock,5分ごと,何時何分かな,〇時〇分,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,,,
g2-tokei-jippunnokei,18,clock,10分の時計,1時間と何分,〇分=□時間□分,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,,,
g2-tokei-ippunnokei,19,clock,1分の時計,1分から9分,〇時1〜9分,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,,,
g2-tokei-tooifunnokei,20,clock,遠い分の時計,21分から39分,〇時21〜39分,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,,,
g3-shosu-shosuichiketatashizan,41,decimal,小数1けた,たし算,〇.〇+〇.〇,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,3,3,
g3-shosu-shosuichiketahikizan,42,decimal,小数1けたひく,ひき算,〇.〇-〇.〇,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,3,3,
g4-shosu-shosuniketatashizan,43,decimal,小数2けた,たし算,〇.〇〇+〇.〇〇,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,4,4,
g4-shosu-shosuniketahikizan,44,decimal,小数2けたひく,ひき算,〇.〇〇-〇.〇〇,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,4,4,
g4-shosu-shosuketachigaitashizan,45,decimal,小数けたちがい,たし算,〇.〇+〇.〇〇,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,4,4,
g4-shosu-shosuketachigaihikizan,46,decimal,小数けたちがいひく,ひき算,〇.〇-〇.〇〇,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,4,4,
g3-shosu-shosuichiketakurinashi,47,decimal,小数1けたくりなし,くりあがりなし,〇.〇+〇.〇,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,3,3,
g3-shosu-shosuichiketakuriari,48,decimal,小数1けたくりあり,くりあがりあり,〇.〇+〇.〇,assets/backgrounds/waterGarden.webp,#70c7ff,,TRUE,3,3,
g1-junoyama-tenberunotou,20,makeTen,テンベルのとう,10をつくる れんしゅう,〇+□=10,assets/backgrounds/tenTower.webp,#ffd766,,,,,
g1-hikizan-hikuichinokomichi,21,subtraction,ひく1のこみち,1だけひく,〇-1,,#80d889,,,,,
g1-hikizan-hikuninokomichi,22,subtraction,ひく2のこみち,1か2をひく,〇-1/〇-2,,#80d889,,,,,
g1-hikizan-nokorinokomichi,23,subtraction,のこりのこみち,1けた-1けた,〇-〇,assets/backgrounds/subtractionForest.webp,#80d889,,,,,
g1-hikizan-tennoichiba,24,subtraction,テンのいちば,10から1けたをひく,10-〇,,#70c7ff,,,,,
g1-hikizan-nijubashi,25,subtraction,にじゅうばし,20から1けたをひく,20-〇,,#70c7ff,,,,,
g1-hikizan-juikutsunohashi,26,subtraction,10いくつのはし,11〜19から1けたをひく,10いくつ-〇,,#70c7ff,,,,,
g2-hikizan-kurainohikimichi,27,subtraction,くらいのひきみち,2けた-1けた くりさがりなし,2けた-1けた,,#ffb15e,,,,,
g2-hikizan-nokoriishinotani,28,subtraction,のこりいしのたに,2けた-2けた くりさがりなし,2けた-2けた,assets/backgrounds/stoneValley.webp,#ffb15e,,,,,
